id,travel_category,Country,City,Landmark,Solo,Couple,Family,Friends,Business,Pilgrimage or heritage,Adventure,Cuisine,Sight Seeing,Nightlife,Shopping,Competitions,Plane,Bus,Car,Train,Walking,Hotel,Hostel,AirBnB,Camping,Villa,Cheap,Affordable,Luxury,Travel Duration,Summer,Winter,Spring,Autumn,Safety Concerns 
243,Trip Planning,,,,,,y,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,
248,Transportation,,San Francisco,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,
249,Trip Planning,,Salt Lake City,National Park,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,
252,Tourist Activities & Experiences,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
256,Trip Planning,,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Tourist Activities & Experiences,,San Francisco,Bay Area,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,
259,Places & Destinations,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Transportation,US,Aspen,,,,,,,,y,,,,,,,,,,,y,,,,,,,,,,,,,
261,Trip Planning,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Food & Culture (Travel Context),US,Yountville,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
268,Tourist Activities & Experiences,South Korea,Seoul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Places & Destinations,Australia,Marysville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Trip Planning,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Trip Planning,US,"{Vancouver, Portland}",,,,,,,,,,,,,,,,,,,,,,,,,,,1 Days,,,,,
276,Transportation,Germany,Munich,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,
494,Places & Destinations,USA,Seattle,,,,,,,,y,y,y,,,,,,,,,,,,,,,,,48 hours,,,y,y,
500,Places & Destinations,,Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,15 days,,,,,
501,Food & Culture (Travel Context),Vietnam,Ho Chi Minh,,,,,,,y,,y,y,,,,,,,,y,,,,,,,,,,,,,,
508,Places & Destinations,USA,Seattle,,,,,,,,,y,,,,,,,,,,,,,,,,,,,y,,,,
542,Travel Tips & Advice,"USA, Canada , Costa Rica","Hawaii, Alaska, Washington, Arizona, Quecbec, Costa Rica",,,y,,,,,,,,,,,,,,,,,,,,,Y,y,,,,,,,
547,Travel Costs & Budgeting,"Croatia, Portugal, Slovenia, Cyprus, Poland",,,,,y,,,,,,y,,,,,,,,,,,,,,Y,y,,,,,,,
554,Places & Destinations,US,New York,,,,,,,,,,y,y,,,,,,y,y,,,,,,,,,,,,,,
558,Trip Planning,Canada,"Montreal, Oregon, Illinois, Washington",,,,,,,,,,,y,,,,y,,y,y,,,,,,,y,,,,,,,
562,Trip Planning,South - East Asia,,,,,,,,,,y,,y,,,,,,,,,,,,,y,,,,,,,,
3072,Food & Culture (Travel Context),,,,,,,,,,,y,y,y,,,,y,,y,,,,,,,,,,,,,,,
567,Places & Destinations,"Thailand, Vietnam, Peru, Morocco, Portugal, Greece",,,,y,,,,,,,,y,,,,,,,,,,,,,y,,,,,,,,
572,Travel Costs & Budgeting,"Costa Rica, Mexico, Poland, Slovenia, Ecuador, Greece, Italy, Spain",,,,y,,,,,,,y,,,,,,,,,,,,,,y,,,,,,,,
593,Tourist Activities & Experiences,"Peru, New Zealand, India ",,Mountains ,,,,,,,y Hiking,,,,,,,,,,,,,,y,,,,,,,,,,
915,Tourist Activities & Experiences,Saudi Arabia,Jeddah,,,,y,,,,,,y,,,,,,,,,,,,,,Y,Y,,,,Y,,,
946,Places & Destinations,,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Places & Destinations,Germany,Gottingen,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,
952,Food & Culture (Travel Context),England,London,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,,,,,
980,Food & Culture (Travel Context),India,Bengaluru,,y,,y,,,y,,y,y,,y,,,y,y,,y,y,,,,,y,y,,,,,,,
1009,Travel Costs & Budgeting ,"India, Thailand, Morocco, Peru, Vietnam ",,,,,,,,,,y,,y,,,,,,,,,,,,,y,,,,,,,,
1072,Trip Planning,USA,Arizona,Grand Canyon,,,,,,,y Hiking,,,,,,,,,,,,,,y,,,,,,,,y,y,
1073,Places & Destinations,USA,Denver,Rocky Mountains,,,,,,,y Hiking,,,,,,,,,y,,,,,y,,,,,,,,,,
1074,Places & Destinations,Italy,"Venice, Tusacny, Amalfi Coast, Rome",Lake Como,,y,,,,,,"y (Wine, Pizza, Seafood)",y,,,,,,,,y,,,,,,,,,,,,,,
1075,Places & Destinations,Phillipines,Coron,"Coron Island, Mount Tapyas, Maquint Hot Springs, Beach, Islands, ",,,y,y,,,y Snorkeling,,y,,,,,,y,,y,y,,,,y,,y,y,,y,,y,,
3039,Places & Destinations,Australia,,,,,y,y,,,y Surfing,y,y,y,,y,,,y,y,,y,,,y,y,,,,,,,y,,
1076,Places & Destinations,USA,California (northern),"Sierra Nevada Mountains, Beaches, Rivers, Golden Gate Bridge",,,y,y,,,"y Skiing, snowboarding, Rafting, Surfing",,,,,,,,,,,,,,,,,,,,y,y,y,y,
1077,Transportation,Japan,,,,,,,,,,,,y,,,y,y,y,y,,,,,,,,,,,,,,,
1078,Tourist Activities & Experiences,Australia,"Cairns, Melbourne, Gold Coast","Beaches, Rivers, Bay, Mountains, Great Barrier Reef",,,,,,,"y (Hiking,Rock Climbing,Rafting,Canyoning, Scuba Diving,Bungy Jumping)",,,,,,,,,,,,,,,,,,,,,,,,
488,Places & Destinations,India,Port Blair,,,,y,,,,y,,y,,,,,y,y,,,,,,,,,,,,,,,,
1079,Places & Destinations,USA,Florida,Orlando (Water Parks),,,y,,,,,,,,,,,,,,,,,,,,,,,,y,,,,
1080,Places & Destinations,Europe,"France, Switzerland, Italy, Austria, Spain, Slovakia, Poland","Alps, Pyrenees, Tatra, Dolomites, Sierra Nevada",y,y,y,y,,,y Skiing,,y,,,,,,,,,y,,,,,y,y,,,,,,,
1081,Places & Destinations,USA,Florida,Orlando (Amusement Parks),,,y,,,,,,,,,,,,,,,,,,,,,,,,y,,,,
1082,Transportation,Turkey,Istanbul,Beaches,,,y,,,,,y,y,,,,,y,y,,,y,,,,,,y,,,,,,,
1083,Places & Destinations,USA,San Francisco,"Golden Gate Bridge, Forests, Beach",y,y,y,y,,,y Hiking,y,,,y,,,,y,,y,,,,,,,,,,,,,,
1084,Tourist Activities & Experiences,USA,Las Vegas,,y,y,,y,,,,,,y,y,,,,y,,y,y,,,,,,y,y,,,,,,
1085,Transportation,USA,Miami,,,,,,,,,,,y,,,,y,,y,y,y,,,,,y,y,y,,,,,,
1086,Places & Destinations,New Zealand,,"Milford Sound, National Parks, Caves, Rocks, Beaches",,,,,,,"y Hiking trails, Kayaking",y,y,,,,,,,,,,,,,,,,,,,,,,
1087,Places & Destinations,Italy,"Le Marche, Basilicata, Maremma, Sicily Aeolian Islands","Mountains, Lake Como, Umbrain countryside",,,,,,,y ,y,,,,,,,,,,,,,,,,,,,,,,,
459,Places & Destinations,Peru,Machu Pichhu,,,,,,,y,,,y,,,,,,,,,,,,,,,,,,,,,,
1088,Places & Destinations,Netherlands,Amsterdam,,,,,,,,,,,,,,,,,,y,y,,,,,y,y,,,,,,,
1089,Places & Destinations,Thailand,,Beaches,y,y,y,y,,,"y (snorkeling, jungle hiking, kayaking)",,,,,,,,,,,,,,,,,,,,y,,,,
1091,Food & Culture (Travel Context),England,Bath,,,,,,,,,,,,,,,,,,,y,,,,,,,y,,,,,,
1092,Places & Destinations,USA,New York,,,,,,,,,,,,,,,,,,,y,,,,,,y,y,,,,,,
1093,Transportation,USA,Las Vegas,,,,,,,,,,,,,,,y,y,,,,,,,,,,,,,,,,
1094,Places & Destinations,Thailand,"Chiang Rai, Pai, Nan Kanchanburi, Loei",,y,y,y,y,,y,,y (Thai),y,,y,,,,,,,,,,,,,,,,,,,,
448,Travel Tips & Advice,US,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Places & Destinations,US,Florida,"Orlando (Science centre, Museum, Zoo, lakes, Botanical Gardens, LegoLand)",,,y,,,,,,,,,y (Educational),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Places & Destinations,Canada,Alberta,Banff,y,y,y,,,,y Hiking,,,,,,,,,,,,,,y,,,,,,,,,,
1098,Places & Destinations,Mexico,,,,,,,,y,,y,y,y,y,,,,,,,y,,,,,y,y,y,,,,,,
1099,Places & Destinations,Caribbean,"St. Lucia, Nevis, Turks and Caicos, St. barts, Anguilla, Dominica","Mountains, rainforests, beaches, islands, beach clubs, resorts",y,y,,y,,,"y (snorkeling, sailing)",,y,y,,,,,y,,,y,,,,,y,y,y,,y,,,,
1100,Transportation,Australia,Sydney,Beaches,y,y,,y,,,"y (snorkeling, sailing)",,,y,,,,,,,,,,,,,,,,,,,,,
1101,Places & Destinations,USA,Maine,Beaches,,,,,,,y (kayaking),,,,,,,,,,,,,,,,,,,,y,,,,
1102,Accommodation,India,Kerala,"Beaches, Rainforest",,,,,,,,y,y,,,,,,,,,y,,,,,,,y,,,,,,
1103,Places & Destinations,USA,Seattle,,,,,,,,,y,,,,,,,,,,y,,,,,,y,,,,,,,
1104,Trip Planning,Italy,Rome,"Colosseum, Pantheon, St Peter's Basilica, Trevi Fountain, Piazza Navona, Castel Sant' Angelo",,,,,,y,,y,y,,,,,,,,,,,,,,,,,,,,,,
1113,Transportation,Scottish Borders ,,,,,,,,,,,,,,,y,y,y,y,,,,,,,,,,,,,,,
1119,Places & Destinations,USA,New York,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,
1120,Travel Costs & Budgeting,United States,"Florida, Texas, Missouri, Tennesee, Colorado, South Carolina","National Parks, Theme Parks, Amusement Parks ",y,y,y,y,,,y,,y,,,,,,,,,y,,,,,y,y,,,,,,,
1121,Accommodation,Thailand,Bangkok,,,,,,,,,,,,,,,,,,,y,,,,,,,y,,,,,,
1125,Trip Planning,,Maui,,,,,,,,Snorkeling,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,
1134,Travel Tips & Advice,South Africa,Cape Town and Johannesburg - high crime rates ,    ,"Kruger National Park , kwaZulu Natal - malaria pills",,,,,,,,,,y,,,,,,,,,,,,,,,,,Y,,,
1136,Places & Destinations,France,Paris,,,Y,Y,,,,,,Y,,Y,,,,Y,Y,,,,,,,,Y,Y,,,,,,
1141,Places & Destinations,australia,Sydney,,,,y,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
1142,Places & Destinations,Hawaii,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Places & Destinations,South Africa,Cape Town,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
1150,Trip Planning,India,Uttar Pradesh,Taj Mahal,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,y,
1152,Travel Tips & Advice,India,islama,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y
,Travel Tips & Advice,Thailand,"Bangkok, ",,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,
1175,Places & Destinations,Switzerland,,Alps,,,,,,,Skiing,,,,,,,,,,,y,,,,,,,Y,,,,,,
1251,Travel Tips & Advice,Colombia,,,,,,,,,,y Coffee,Y,,Y,,,,y,,,,,,,,,,,,,,,,
1252,Travel Services & Infrastructure,Australia,Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,y,,
1258,Travel Tips & Advice,Iceland,Grindavik,Blue Lagoon spa,,,,,,,,y,,,y,,,y,y,,,,,,,,,,y,,y,,,,
1260,Travel Tips & Advice,England,London,Musuems,y,,y,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
1263,Travel Services & Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,Tourist Activities & Experiences,UAE,Dubai,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,,,,,
1466,Tourist Activities & Experiences,"New Zealand, Iceland, Bali, Melbourne",,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,n
1959,Accommodation,USA,LA,Yellowstone National Park,,,,,,,y Hiking ,,,,,,,,,,,,,,y,,,,,,y,,,,
1983,Places & Destinations,Canada,Toronto,,,,y,,,,,,y,,,,,,,,,,,,,,y,y,,,,,,,
1997,Places & Destinations,Netherlands,Amsterdam,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
1998,Places & Destinations,Hawaii,Maui,Beaches,,,,,,,y,,y,y,y,,,,,,,,,,,,,,,,,,,,
2003,Places & Destinations,Singapore,Singapore,,,,y,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,
2009,Places & Destinations,"Iceland, New Zealand, Costa Rica, Bali, Thailand, Portugal",,,y,,,,,,,,y,,,,,y,y,y,y,,,,,,,,,,,,,,
2081,Tourist Activities & Experiences,USA,New York,Times Square,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
2082,Tourist Activities & Experiences,Iceland,,,,,,,,,y ,,y,,,,,,,,,,,,,,,,,,,,,,
2084,Places & Destinations,Australia,,Great Barrier Reef,,,,,,,y Scuba Diving,y,,,,,,,,,,,,,,,,,,,y,,y,y,
2093,Accommodation,Vienna,Salzburg,,,,y,,,,,y,y,,,,,,,,,y,,,,,,,y,,y,,y,y,
2132,Tourist Activities & Experiences,Hawaii,,,,,,,,,"Y Snorkeling, kayaking , Scuba Diving, Surfing ",,,,,,,,,,,,,,,,,,,,,,,,
2138,Food & Culture (Travel Context),Tibet,,,Y,Y,Y,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,Y,
2176,Tourist Activities & Experiences,India,Nainital,JIm Corbett National Park,y,,y,,,,,,y,,,,,,,,,,,,y,,,,,,,y,,,
2222,Accommodation,Indonesia ,Bali,,,,,,,,,,,,,,,,,,,y,,,,,,y,y,,,,,,
2223,Travel Costs & Budgeting,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,,,,,,
352,Travel Tips & Advice,Switzerland,Davos,,,,y,,y,,y,,,y,,,,,,,,,,,,y,,,y,,,,,,
2232,Places & Destinations,Thailand,Bangkok,,,,,,,y,,,,,,,,Y,Y,Y,Y,,,,,,,,,,,,,,
2235,Places & Destinations,Switzerland,LA,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,
2236,Places & Destinations,Brazil,Rio de Janeiro,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,,,,,
2655,Food & Culture (Travel Context),Japan,Tokyo,,,,,,,y,,y Seafood,y,y,y,,,y,y,y,,y,,,y,,y,,y,,,,y,,
2664,Transportation,China,LA,,,,,,,,,Chinese,,y,,,,,,,,y,,,,,,,,,,,,,
2683,Travel Tips & Advice,US,LA,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,
2823,Food & Culture (Travel Context),US,LA,,,,,,,,,Street Food,y,y,y,,,y,y,y,y,,,,y,,y,y,,,,,,,
2845,Travel Tips & Advice,Argentina,Paris,,,,,,,Mecca,,American,y,y,y,,,,,,y,y,y,,y,y,y,y,y,,,,y,,
2904,Places & Destinations,Thailand,LA,,,,,,,,,Thai,,y,,,,,,,,,,,,,,,,,,,,,
3007,Accommodation,US,Florida ,DisneyWorld,,,y,,,,y,,,,y,,,y,y,y,y,y,,,,y,,,y,,y,,,,
2961,Transportation,England ,London,,,,,,,,,y,y,,,,,y,,y,y,,,,,,,,y,,y,,y,,
3068,Food & Culture (Travel Context),Japan,Tokyo,"Shibuya Scramble Crossing, Mount Fuji, Gardens",y,,y,y,,Y,,y seafood,y,y,y,,,y,,y,y,,,,,,,,,,y,,y,y,
3114,Travel Tips & Advice,Spain,Barcelona,,,,,,,,,y,,y,,,,,,,,y,,,,,,,,,,,,,Y
3116,Places & Destinations,Italy,Tuscany,,,,y,,,,y,y,y,y,y,,,,,y,y,y,,,,y,y,y,y,,,,y,,
3117,Food & Culture (Travel Context),Spain,Barcelona,"Church, Musuem",,,,,,,,y,,y,y,,,,,y,y,,,,,,,,,,,,,,
